_id,objectid,fid_blockg,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,shape_leng,fid_neighb,area,perimeter,neighbor,neighbor_i,hood,hood_no,acres,sqmiles,dpwdiv,unique_id,sectors,shape_le_1,shape_ar_1,tract,cdbg2014,tracttext,shape_length,shape_area
3433,1,0,42,003,040500,1,420030405001,Block Group 1,G5030,S,268195,0,+40.4406805,-079.9542332,7988.37939146,62,7843108,11526.863,63,2145,Central Oakland,20,180.883,0.281,3,113,14,11526.8632219,7843108.22191,0405,Yes,405,0.0334533995857773,5.00928915291461e-05
3434,2,1,42,003,040400,1,420030404001,Block Group 1,G5030,S,75472,0,+40.4458408,-079.9483932,3813.62098852,40,13904629,20941.387,41,2123,North Oakland,56,320.679,0.499,3,25,14,20941.386025,13904629.0582,0404,Yes,404,0.0203582448411878,2.0766247283154e-05
3435,3,2,42,003,040200,2,420030402002,Block Group 2,G5030,S,282679,0,+40.4412437,-079.9626107,8260.91550164,61,5999801.5,18271.426,62,2144,West Oakland,88,138.372,0.215,3,21,14,18271.4263855,5999801.02567,0402,Yes,402,0.0598672547072001,5.91579418719846e-05
3436,4,3,42,003,030500,2,420030305002,Block Group 2,G5030,S,284548,0,+40.4403871,-079.9813476,8670.42812162,56,7202139,15696.759,57,2139,Crawford-Roberts,24,166.101,0.258,3,19,15,15696.7592296,7202138.92257,0305,Yes,305,0.0501984092031123,7.1043976543541e-05
3437,5,5,42,003,020300,1,420030203001,Block Group 1,G5030,S,1593129,329216,+40.4544996,-079.9812762,24019.5328648,27,16947852,23903.078,28,2110,Strip District,80,390.864,0.608,1,23,13,23903.0778522,16947852.9683,0203,No,203,0.077580988222675,0.000167179803948173
3438,6,6,42,003,020100,4,420030201004,Block Group 4,G5030,S,281715,0,+40.4406777,-079.9892121,7297.91973236,57,17846686,23034.955,58,2140,Central Business District,17,411.593,0.64,1,24,16,23034.9547029,17846685.4874,0201,No,201,0.0757143635925615,0.000175995593575056
3439,7,7,42,003,262000,1,420032620001,Block Group 1,G5030,S,607576,0,+40.4632158,-079.9941680,12055.4261462,15,17550592,18197.82,16,2098,Spring Hill-City View,75,404.765,0.63,1,23,1,18197.8198899,17550591.7727,2620,Yes,2620,0.0568779767368964,0.000173079062548583
3440,8,8,42,003,261500,1,420032615001,Block Group 1,G5030,S,350522,0,+40.4733966,-080.0097343,8208.50481027,13,25220622,26399.697,14,2096,Perry South,62,581.656,0.905,1,21,2,26399.6985333,25220621.1697,2615,Yes,2615,0.0668526478709646,0.000120088085252974
3441,9,9,42,003,261400,2,420032614002,Block Group 2,G5030,S,353594,0,+40.4619992,-080.0134962,8782.65701323,13,25220622,26399.697,14,2096,Perry South,62,581.656,0.905,1,21,2,26399.6985333,25220621.1697,2614,Yes,2614,0.0582566692031887,0.00012869831744722
3442,10,10,42,003,261200,1,420032612001,Block Group 1,G5030,S,1057787,0,+40.4922173,-080.0081121,20906.8295034,1,12232021,20910.936,2,2084,Summer Hill,81,282.104,0.439,1,57,1,20910.9344121,12232020.2959,2612,No,2612,0.0628107867221631,0.000120727100483824
3443,11,11,42,003,260900,1,420032609001,Block Group 1,G5030,S,812036,0,+40.4776383,-080.0025945,13757.3320259,9,8739570,13813.638,10,2092,Northview Heights,58,201.558,0.313,1,113,1,13813.6375352,8739570.2277,2609,Yes,2609,0.04290288889652,8.61154299369329e-05
3444,12,12,42,003,260700,2,420032607002,Block Group 2,G5030,S,301991,0,+40.4818975,-080.0108700,11322.837265,2,33781248,30858.816,3,2085,Perry North,61,779.088,1.212,1,18,2,30858.817773,33781247.3924,2607,Yes,2607,0.0534618891486129,7.13481978358437e-05
3445,13,13,42,003,563100,2,420035631002,Block Group 2,G5030,S,880129,0,+40.4320100,-080.0530374,14820.1491893,65,19295586,20939.387,66,2148,Westwood,89,445.009,0.692,5,6,4,20939.3851045,19295586.8644,5631,No,5631,0.106882685782779,0.000290765153745634
3446,14,14,42,003,562400,5,420035624005,Block Group 5,G5030,S,138709,0,+40.4197360,-079.9991617,6015.55620698,80,11723429,13432.413,81,2163,Beltzhoover,9,270.374,0.421,4,113,6,13432.4122172,11723428.2416,5624,No,5624,0.0620229195760701,0.00020184674011096
3447,15,15,42,003,981000,1,420039810001,Block Group 1,G5030,S,1377043,0,+40.4730821,-079.9488759,20578.3756175,12,26848464,25420.65,13,2095,Central Lawrenceville,18,619.199,0.963,2,24,13,25420.6493731,26848463.3819,9810,No,9810,0.0671663139032741,0.000147483227082438
3448,16,16,42,003,170200,1,420031702001,Block Group 1,G5030,S,406640,81747,+40.4302576,-079.9922422,12037.8994561,71,26083320,34676.355,72,2154,South Side Flats,72,601.553,0.936,4,81,7,34676.3550984,26083318.9691,1702,No,1702,0.0598114153968467,0.000118770783912912
3449,17,19,42,003,180300,3,420031803003,Block Group 3,G5030,S,140530,0,+40.4191918,-079.9927314,6293.7919057,75,8221419.5,16208.565,76,2158,Allentown,3,189.608,0.295,4,23,6,16208.5648002,8221419.7352,1803,Yes,1803,0.0521526375429355,8.105446845072e-05
3450,18,20,42,003,170600,1,420031706001,Block Group 1,G5030,S,326725,0,+40.4249025,-079.9876098,14495.7931028,73,19973024,26532.701,74,2156,South Side Slopes,73,460.632,0.716,4,6,7,26532.6997121,19973023.112,1706,Yes,1706,0.0743722930315966,8.66607984977816e-05
3451,19,25,42,003,010300,2,420030103002,Block Group 2,G5030,S,267511,0,+40.4369004,-079.9903987,6834.80662477,66,9127700,15723.174,67,2149,Bluff,11,210.51,0.327,3,57,15,15723.1745834,9127699.90244,0103,Yes,103,0.053731116147537,9.00052256450608e-05
3452,20,28,42,003,260200,3,420032602003,Block Group 3,G5030,S,252788,7193,+40.4925080,-080.0177905,8287.87836321,2,33781248,30858.816,3,2085,Perry North,61,779.088,1.212,1,18,2,30858.817773,33781247.3924,2602,No,2602,0.0951561383171714,0.00014395377570785
3453,21,31,42,003,250900,2,420032509002,Block Group 2,G5030,S,384629,0,+40.4641570,-080.0039415,13652.2147116,23,6958774,12677.556,24,2106,Fineview,33,160.488,0.25,1,81,3,12677.555901,6958774.07065,2509,Yes,2509,0.0397957032324462,6.86850383687772e-05
3454,22,34,42,003,562900,1,420035629001,Block Group 1,G5030,S,1385581,586785,+40.4096285,-079.9486102,29907.6112744,76,44132028,42041.449,77,2159,Hazelwood,39,1017.805,1.583,3,25,9,42041.4499831,44132028.3656,5629,Yes,5629,0.293504318603944,0.00071135480116017
3455,23,35,42,003,980000,1,420039800001,Block Group 1,G5030,S,637235,237268,+40.4875790,-079.8907469,13581.8750903,4,7809355.5,13582.972,5,2087,Lincoln-Lemington-Belmar,47,180.105,0.28,2,24,11,13582.9721502,7809355.83398,9800,No,9800,0.0842487571184649,9.87447173138615e-05
3456,24,36,42,003,561900,2,420035619002,Block Group 2,G5030,S,652899,0,+40.4670321,-079.8924785,11692.2530689,10,42704072,28088.406,11,2093,Lincoln-Lemington-Belmar,47,984.873,1.532,2,24,11,28088.4054557,42704074.2734,5619,Yes,5619,0.0632446823308496,0.000132845590480804
3457,25,37,42,003,130600,1,420031306001,Block Group 1,G5030,S,365630,0,+40.4521925,-079.8817225,8027.6339264,41,15092615,22217.805,42,2124,East Hills,28,348.077,0.541,2,6,11,22217.8045081,15092615.3468,1306,Yes,1306,0.0718325287765698,0.000148740551694528
3458,26,38,42,003,040900,3,420030409003,Block Group 3,G5030,S,253498,0,+40.4308074,-079.9518013,7343.08226623,67,14169730,19242.504,68,2150,South Oakland,70,326.793,0.508,3,19,14,19242.503109,14169729.7762,0409,Yes,409,0.0593087217875115,9.81741525766128e-05
3459,27,39,42,003,562300,5,420035623005,Block Group 5,G5030,S,394540,0,+40.4142957,-079.9369121,11876.9049201,76,44132028,42041.449,77,2159,Hazelwood,39,1017.805,1.583,3,25,9,42041.4499831,44132028.3656,5623,Yes,5623,0.0810919928091056,0.000329747103327768
3460,28,45,42,003,180700,2,420031807002,Block Group 2,G5030,S,128061,0,+40.4247086,-080.0011285,5547.08880372,64,31760998,33988.883,65,2147,Mount Washington,54,732.495,1.139,5,25,6,33988.8822689,31760998.0351,1807,No,1807,0.0282826536496492,4.18915606906162e-05
3461,29,48,42,003,151700,4,420031517004,Block Group 4,G5030,S,157178,0,+40.4216327,-079.9353993,5794.40171972,74,21551120,22518.27,75,2157,Greenfield,37,497.028,0.773,3,21,9,22518.2704223,21551119.9814,1517,No,1517,0.0513181618283898,0.000125832108224363
3462,30,52,42,003,151600,3,420031516003,Block Group 3,G5030,S,132031,0,+40.4227661,-079.9448461,5523.91697568,74,21551120,22518.27,75,2157,Greenfield,37,497.028,0.773,3,21,9,22518.2704223,21551119.9814,1516,No,1516,0.0471056603613009,8.66080752579387e-05
3463,31,54,42,003,141400,3,420031414003,Block Group 3,G5030,S,294702,0,+40.4266034,-079.9185733,8635.64213031,63,74470128,50122.652,64,2146,Squirrel Hill South,77,1717.485,2.671,3,23,10,50122.6510966,74470126.2694,1414,No,1414,0.0775121220047049,0.000214148399951115
3464,32,56,42,003,141300,3,420031413003,Block Group 3,G5030,S,202656,0,+40.4320453,-079.9253363,6066.42033492,63,74470128,50122.652,64,2146,Squirrel Hill South,77,1717.485,2.671,3,23,10,50122.6510966,74470126.2694,1413,No,1413,0.0517192265723703,9.53108919600457e-05
3465,33,58,42,003,250300,1,420032503001,Block Group 1,G5030,S,243738,0,+40.4584905,-080.0120067,7703.4461902,37,7218352,14371.736,38,2120,Central Northside,19,166.475,0.259,1,6,3,14371.7363926,7218351.66088,2503,No,2503,0.0251621157890537,2.58780505664229e-05
3466,34,59,42,003,241200,2,420032412002,Block Group 2,G5030,S,172183,0,+40.4600565,-079.9915198,7283.45492128,14,7653279.5,21452.691,15,2097,Spring Garden,74,176.506,0.275,1,18,1,21452.6918846,7653278.96663,2412,Yes,2412,0.0664314309834217,7.55339046602018e-05
3467,35,61,42,003,240600,2,420032406002,Block Group 2,G5030,S,495750,0,+40.4611811,-079.9859947,14534.3785992,20,10717292,20630.793,21,2103,Troy Hill,84,247.17,0.384,1,94,1,20630.7931601,10717291.8959,2406,Yes,2406,0.0925314565076353,0.000126551442254511
3468,36,63,42,003,220600,2,420032206002,Block Group 2,G5030,S,166959,0,+40.4572412,-080.0051339,5717.33075588,37,7218352,14371.736,38,2120,Central Northside,19,166.475,0.259,1,6,3,14371.7363926,7218351.66088,2206,No,2206,0.0427431262443661,4.53370596151006e-05
3469,38,67,42,003,981800,1,420039818001,Block Group 1,G5030,S,1652680,310067,+40.4790228,-079.8942288,24294.7264963,10,42704072,28088.406,11,2093,Lincoln-Lemington-Belmar,47,984.873,1.532,2,24,11,28088.4054557,42704074.2734,9818,No,9818,0.0777492431440459,0.00017368257967268
3470,39,68,42,003,562000,2,420035620002,Block Group 2,G5030,S,269504,0,+40.4552789,-079.9531593,9004.37325633,40,13904629,20941.387,41,2123,North Oakland,56,320.679,0.499,3,25,14,20941.386025,13904629.0582,5620,Yes,5620,0.0468253128884659,6.24678556666879e-05
3471,40,70,42,003,160800,1,420031608001,Block Group 1,G5030,S,122567,0,+40.4229739,-079.9707670,5059.6066939,73,19973024,26532.701,74,2156,South Side Slopes,73,460.632,0.716,4,6,7,26532.6997121,19973023.112,1608,Yes,1608,0.0533593554964184,0.000110257253651507
3472,41,71,42,003,101800,2,420031018002,Block Group 2,G5030,S,797007,0,+40.4847864,-079.9385823,22835.1086419,7,20492582,24387.818,8,2090,Stanton Heights,79,472.615,0.735,2,19,13,24387.8186052,20492582.6295,1018,No,1018,0.0765252857571738,0.000127003335522211
3473,42,72,42,003,060300,1,420030603001,Block Group 1,G5030,S,391220,0,+40.4621267,-079.9609234,10355.0742837,19,11984375,15396.965,20,2102,Lower Lawrenceville,48,276.392,0.43,2,19,13,15396.9649665,11984374.8838,0603,Yes,603,0.0493650516660816,0.000118230614756571
3474,43,73,42,003,080200,2,420030802002,Block Group 2,G5030,S,92307,0,+40.4617308,-079.9522528,4036.16383327,26,19572930,21206.189,27,2109,Bloomfield,10,451.405,0.702,2,94,12,21206.1896852,19572929.544,0802,Yes,802,0.0251404120812085,3.66895278141622e-05
3475,44,74,42,003,290400,3,420032904003,Block Group 3,G5030,S,275844,0,+40.3844190,-079.9867635,11617.5879718,91,46641072,40422.973,92,2174,Carrick,16,1075.67,1.673,4,19,5,40422.9743229,46641073.9689,2904,No,2904,0.0935718261797081,0.000170163446792423
3476,45,75,42,003,981100,1,420039811001,Block Group 1,G5030,S,876833,0,+40.4420424,-079.9063310,14525.9016311,53,27997334,25607.969,54,2136,Point Breeze,63,645.695,1.004,3,6,10,25607.9691868,27997334.3753,9811,No,9811,0.046612925512526,9.29874740794735e-05
3477,46,76,42,003,190300,1,420031903001,Block Group 1,G5030,S,502688,0,+40.4348905,-080.0135312,14878.8284864,64,31760998,33988.883,65,2147,Mount Washington,54,732.495,1.139,5,25,6,33988.8822689,31760998.0351,1903,No,1903,0.0605952338573994,8.74882107591401e-05
3478,47,77,42,003,191100,2,420031911002,Block Group 2,G5030,S,884630,0,+40.4386014,-080.0260996,13787.4250385,60,17364276,19320.406,61,2143,Duquesne Heights,25,400.468,0.623,5,57,6,19320.4070461,17364275.0587,1911,No,1911,0.0608279623937624,0.000171207811887051
3479,48,79,42,003,191400,1,420031914001,Block Group 1,G5030,S,380257,0,+40.4292007,-080.0064823,13251.9266742,64,31760998,33988.883,65,2147,Mount Washington,54,732.495,1.139,5,25,6,33988.8822689,31760998.0351,1914,Yes,1914,0.062107408023796,0.000100063684347028
3480,49,83,42,003,141100,1,420031411001,Block Group 1,G5030,S,1226338,163168,+40.4196414,-079.9075532,20791.5444695,78,13379806,20826.32,79,2161,Swisshelm Park,82,308.575,0.48,3,57,10,20826.3192349,13379806.3379,1411,No,1411,0.067516544832522,0.000131907177338015
3481,50,84,42,003,110200,1,420031102001,Block Group 1,G5030,S,144791,0,+40.4780209,-079.9195862,5475.12806168,8,32419862,23264.563,9,2091,Highland Park,40,747.691,1.163,2,94,12,23264.5616983,32419862.5289,1102,No,1102,0.0389241621395084,8.57184097010498e-05
3482,51,86,42,003,101700,2,420031017002,Block Group 2,G5030,S,217979,0,+40.4672423,-079.9433700,6586.68365832,17,12751163,14574.327,18,2100,Garfield,35,294.077,0.457,2,113,12,14574.3266866,12751163.3098,1017,Yes,1017,0.0309084716141629,4.16772340036229e-05
3483,52,89,42,003,210700,2,420032107002,Block Group 2,G5030,S,359658,0,+40.4578695,-080.0264589,9100.227534,33,7785965.5,12528.441,34,2116,Manchester,49,179.566,0.279,1,23,3,12528.4419932,7785965.49733,2107,Yes,2107,0.0389738755761921,7.68042029460265e-05
3484,53,91,42,003,980100,1,420039801001,Block Group 1,G5030,S,1440881,252755,+40.4798795,-079.9165548,26209.2530293,8,32419862,23264.563,9,2091,Highland Park,40,747.691,1.163,2,94,12,23264.5616983,32419862.5289,9801,No,9801,0.0830643693198304,0.000166725273368666
3485,54,93,42,003,101100,3,420031011003,Block Group 3,G5030,S,249635,0,+40.4818107,-079.9477736,10342.017761,6,11288746,19192.783,7,2089,Upper Lawrenceville,86,260.349,0.405,2,57,13,19192.7838984,11288745.6344,1011,Yes,1011,0.0642638159799451,0.000111410686933763
3486,55,94,42,003,140600,3,420031406003,Block Group 3,G5030,S,184852,0,+40.4430458,-079.8953704,6747.65628011,53,27997334,25607.969,54,2136,Point Breeze,63,645.695,1.004,3,6,10,25607.9691868,27997334.3753,1406,No,1406,0.0566837858502631,9.45575476919925e-05
3487,56,97,42,003,191600,3,420031916003,Block Group 3,G5030,S,170636,0,+40.4126628,-080.0211465,8417.87560804,72,40706528,32676.17,73,2155,Beechview,8,938.804,1.46,5,23,5,32676.1700079,40706529.2539,1916,Yes,1916,0.0785683587117428,0.00025670699483857
3488,57,102,42,003,191700,1,420031917001,Block Group 1,G5030,S,1471688,0,+40.4043578,-080.0109294,24549.4301741,88,58044672,37257.93,89,2171,Brookline,14,1338.669,2.082,4,81,5,37257.9301961,58044672.6034,1917,No,1917,0.0702174751366282,0.000197556397417548
3489,58,103,42,003,101600,1,420031016001,Block Group 1,G5030,S,464605,0,+40.4703739,-079.9393307,11149.6964085,17,12751163,14574.327,18,2100,Garfield,35,294.077,0.457,2,113,12,14574.3266866,12751163.3098,1016,Yes,1016,0.0365443903325413,4.93362972690554e-05
3490,59,104,42,003,101400,4,420031014004,Block Group 4,G5030,S,149377,0,+40.4799173,-079.9300799,6038.17837146,5,10650824,27033.453,6,2088,Morningside,52,245.637,0.382,2,6,12,27033.4541634,10650824.4307,1014,No,1014,0.0872330189919896,0.000105104941693918
3491,60,109,42,003,100500,2,420031005002,Block Group 2,G5030,S,382760,0,+40.4781242,-079.9393683,10790.5919151,7,20492582,24387.818,8,2090,Stanton Heights,79,472.615,0.735,2,19,13,24387.8186052,20492582.6295,1005,No,1005,0.0373287627322866,7.52185583670281e-05
3492,61,110,42,003,090100,2,420030901002,Block Group 2,G5030,S,305316,115879,+40.4747088,-079.9639616,8997.68265395,12,26848464,25420.65,13,2095,Central Lawrenceville,18,619.199,0.963,2,24,13,25420.6493731,26848463.3819,0901,Yes,901,0.0353516480941769,7.04969854427932e-05
3493,62,111,42,003,090200,3,420030902003,Block Group 3,G5030,S,72097,0,+40.4664653,-079.9570743,3809.98470377,12,26848464,25420.65,13,2095,Central Lawrenceville,18,619.199,0.963,2,24,13,25420.6493731,26848463.3819,0902,No,902,0.0321209410943486,4.6919379221929e-05
3494,63,113,42,003,110600,2,420031106002,Block Group 2,G5030,S,227776,0,+40.4752841,-079.9162654,7011.10817658,8,32419862,23264.563,9,2091,Highland Park,40,747.691,1.163,2,94,12,23264.5616983,32419862.5289,1106,No,1106,0.0391925882583634,6.74517612144138e-05
3495,64,114,42,003,120400,1,420031204001,Block Group 1,G5030,S,176103,0,+40.4633748,-079.9087841,5462.85309992,22,12407882,15726.186,23,2105,Larimer,45,286.16,0.445,2,21,12,15726.185821,12407881.2955,1204,Yes,1204,0.030012487979607,4.63769451946652e-05
3496,65,118,42,003,982200,1,420039822001,Block Group 1,G5030,S,505672,0,+40.4444879,-079.9547652,16401.4866274,40,13904629,20941.387,41,2123,North Oakland,56,320.679,0.499,3,25,14,20941.386025,13904629.0582,9822,Yes,9822,0.0517047687393396,5.39084464078861e-05
3497,67,121,42,003,191800,3,420031918003,Block Group 3,G5030,S,190085,0,+40.3895301,-080.0171435,7528.75708262,88,58044672,37257.93,89,2171,Brookline,14,1338.669,2.082,4,81,5,37257.9301961,58044672.6034,1918,No,1918,0.0759819804260472,0.000154175044386452
3498,68,122,42,003,202300,4,420032023004,Block Group 4,G5030,S,835320,0,+40.4127817,-080.0357088,11460.1491262,79,27009770,25477.746,80,2162,Banksville,6,622.919,0.969,5,19,5,25477.7457026,27009770.5173,2023,No,2023,0.0775874719750078,0.00026607928983113
3499,69,123,42,003,563000,2,420035630002,Block Group 2,G5030,S,574770,0,+40.4597668,-080.0778300,10840.3731335,25,11563175,20989.238,26,2108,Windgap,90,266.678,0.415,5,6,4,20989.2386707,11563174.9172,5630,No,5630,0.117567485177667,0.000415525175341476
3500,70,133,42,003,090300,2,420030903002,Block Group 2,G5030,S,102533,0,+40.4640387,-079.9556576,4367.93165468,26,19572930,21206.189,27,2109,Bloomfield,10,451.405,0.702,2,94,12,21206.1896852,19572929.544,0903,Yes,903,0.0251161186847912,2.73471772906539e-05
3501,71,138,42,003,080900,2,420030809002,Block Group 2,G5030,S,158489,0,+40.4645240,-079.9429630,8050.35117941,26,19572930,21206.189,27,2109,Bloomfield,10,451.405,0.702,2,94,12,21206.1896852,19572929.544,0809,Yes,809,0.0390538485586812,4.03719560337928e-05
3502,72,140,42,003,080700,2,420030807002,Block Group 2,G5030,S,143135,0,+40.4592964,-079.9351049,5199.2611236,30,2961361.7,7707.149,31,2113,Friendship,34,68.297,0.106,2,57,12,7707.14997437,2961361.71379,0807,Yes,807,0.0233201499010601,2.92045401788001e-05
3503,73,143,42,003,561600,2,420035616002,Block Group 2,G5030,S,863468,0,+40.4138332,-079.9632700,22763.2038638,81,13108599,27698.121,82,2164,Arlington,4,302.32,0.47,4,57,7,27698.1211959,13108599.1278,5616,Yes,5616,0.0687324867270438,0.000165407188160108
3504,74,146,42,003,561700,1,420035617001,Block Group 1,G5030,S,807397,0,+40.4088032,-079.9721874,12303.6006998,87,8640989,12308.219,88,2170,St. Clair,78,199.285,0.31,4,23,7,12308.2185407,8640989.25732,5617,Yes,5617,0.0451132299335301,0.000113496686463702
3505,75,149,42,003,202200,3,420032022003,Block Group 3,G5030,S,174657,0,+40.4580322,-080.0647449,7204.28883044,31,24807354,24066.42,32,2114,Sheraden,69,572.125,0.89,5,19,4,24066.4204273,24807353.4024,2022,No,2022,0.0536569063636715,9.37427395671826e-05
3506,76,151,42,003,980700,1,420039807001,Block Group 1,G5030,S,563109,416134,+40.4366295,-080.0102703,21342.8810105,58,5905659.5,21338.58,59,2141,South Shore,71,136.201,0.212,5,19,16,21338.580466,5905659.6703,9807,No,9807,0.071504818412691,5.82193563612201e-05
3507,77,152,42,003,562700,1,420035627001,Block Group 1,G5030,S,374415,0,+40.4507843,-080.0144032,8746.40518879,48,3938870.2,8658.042,49,2131,Allegheny West,2,90.841,0.141,1,21,3,8658.04205132,3938870.37673,5627,Yes,5627,0.0468461978998131,9.63696526903304e-05
3508,78,153,42,003,562600,2,420035626002,Block Group 2,G5030,S,579141,0,+40.4400199,-080.0409711,11480.1400026,49,16904768,21609.799,50,2132,Elliott,30,389.87,0.606,5,25,4,21609.7993427,16904767.616,5626,No,5626,0.0886077626930452,0.000221761010439448
3509,79,154,42,003,191900,1,420031919001,Block Group 1,G5030,S,209525,0,+40.3973803,-080.0201213,8970.64754101,88,58044672,37257.93,89,2171,Brookline,14,1338.669,2.082,4,81,5,37257.9301961,58044672.6034,1919,No,1919,0.0463453118261842,6.4540246304598e-05
3510,80,162,42,003,080600,2,420030806002,Block Group 2,G5030,S,170535,0,+40.4582793,-079.9397403,5875.60413903,26,19572930,21206.189,27,2109,Bloomfield,10,451.405,0.702,2,94,12,21206.1896852,19572929.544,0806,No,806,0.0275360650994451,4.29920457820959e-05
3511,81,164,42,003,080400,2,420030804002,Block Group 2,G5030,S,204063,0,+40.4551218,-079.9478971,6412.53073874,26,19572930,21206.189,27,2109,Bloomfield,10,451.405,0.702,2,94,12,21206.1896852,19572929.544,0804,Yes,804,0.03810893260249,4.56938327460466e-05
3512,82,167,42,003,070900,2,420030709002,Block Group 2,G5030,S,136793,0,+40.4510923,-079.9473004,5126.46143374,42,25673624,25073.463,43,2125,Shadyside,68,592.104,0.921,2,23,12,25073.4622986,25673625.0628,0709,No,709,0.050142716926034,8.55719699208603e-05
3513,83,169,42,003,070800,2,420030708002,Block Group 2,G5030,S,262499,0,+40.4551027,-079.9181947,7727.85131935,42,25673624,25073.463,43,2125,Shadyside,68,592.104,0.921,2,23,12,25073.4622986,25673625.0628,0708,No,708,0.0328991987617066,4.75866891216858e-05
3514,84,173,42,003,300100,5,420033001005,Block Group 5,G5030,S,121963,0,+40.4109357,-079.9931744,5583.46861301,84,8411048,12000.762,85,2167,Knoxville,44,193.982,0.302,4,81,6,12000.7618324,8411048.34192,3001,Yes,3001,0.036820007216602,8.29017747953647e-05
3515,85,181,42,003,270800,3,420032708003,Block Group 3,G5030,S,633737,0,+40.4865869,-080.0297229,13818.0976323,3,31143860,26060.684,4,2086,Brighton Heights,13,718.262,1.117,1,23,2,26060.6841316,31143860.7521,2708,No,2708,0.0562174950152515,0.000134521833570079
3516,86,182,42,003,981200,1,420039812001,Block Group 1,G5030,S,460856,156623,+40.4464954,-080.0119840,10852.9691982,50,8455805,17994.088,51,2133,North Shore,57,195.014,0.303,1,18,16,17994.0875462,8455804.95408,9812,No,9812,0.0361208283509466,5.01552322083703e-05
3517,87,184,42,003,281400,1,420032814001,Block Group 1,G5030,S,348105,0,+40.4496310,-080.0569283,8486.84811855,51,21011160,21289.383,52,2134,Crafton Heights,23,484.575,0.754,5,23,4,21289.3838091,21011159.5373,2814,Yes,2814,0.0524970726906227,0.000140982490004488
3518,88,185,42,003,281500,2,420032815002,Block Group 2,G5030,S,312994,0,+40.4407028,-080.0568585,7841.31620444,51,21011160,21289.383,52,2134,Crafton Heights,23,484.575,0.754,5,23,4,21289.3838091,21011159.5373,2815,No,2815,0.0388471825736353,6.54287100702718e-05
3519,89,187,42,003,290200,4,420032902004,Block Group 4,G5030,S,164293,0,+40.3995328,-079.9865844,6695.51885041,91,46641072,40422.973,92,2174,Carrick,16,1075.67,1.673,4,19,5,40422.9743229,46641073.9689,2902,Yes,2902,0.0636104434876222,0.00015477238405674
3520,90,189,42,003,070600,2,420030706002,Block Group 2,G5030,S,145020,0,+40.4519412,-079.9274585,5296.68544323,42,25673624,25073.463,43,2125,Shadyside,68,592.104,0.921,2,23,12,25073.4622986,25673625.0628,0706,No,706,0.0285593576078238,3.07597807188274e-05
3521,91,191,42,003,070500,3,420030705003,Block Group 3,G5030,S,196368,0,+40.4574217,-079.9293781,7386.2850691,42,25673624,25073.463,43,2125,Shadyside,68,592.104,0.921,2,23,12,25073.4622986,25673625.0628,0705,No,705,0.0272766863112249,4.3821191608817e-05
3522,92,194,42,003,070300,3,420030703003,Block Group 3,G5030,S,214195,0,+40.4501627,-079.9374007,6316.15185679,42,25673624,25073.463,43,2125,Shadyside,68,592.104,0.921,2,23,12,25073.4622986,25673625.0628,0703,No,703,0.0284885271954842,4.54944554678943e-05
3523,93,197,42,003,060500,2,420030605002,Block Group 2,G5030,S,255123,0,+40.4586040,-079.9613007,9025.77501356,39,7097053,14866.162,40,2122,Polish Hill,65,163.677,0.255,2,6,13,14866.1623252,7097053.08855,0605,No,605,0.0497242012778942,7.00163243972744e-05
3524,94,201,42,003,980600,1,420039806001,Block Group 1,G5030,S,982752,473795,+40.4518148,-080.0280506,19600.6831159,34,10688264,19607.977,35,2117,Chateau,22,246.501,0.383,1,113,3,19607.9761334,10688263.843,9806,No,9806,0.0609921765313443,0.000105422790844114
